Preferred Label;Synonyms;Definitions
acute monocytic leukemia;acute monocytic leukemia without mention of remission|acute monocytic leukemia, FAB M5 disorder|acute Monoblastic Leukemia and acute Monocytic Leukemia|acute monocytic leukemia, morphology morphologic abnormality;OMIM mapping confirmed by DO. [SN].
acute myeloid leukemia;acute myelogenous leukemia|acute myeloblastic leukemia|Leukemia, Myelocytic, acute|AML - acute Myeloid Leukemia;A myeloid leukemia that is characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells.|OMIM mapping confirmed by DO. [SN].
acute myocardial infarction;;
acute myocarditis;;
acute necrotizing encephalitis;;
acute orbital inflammation;acute inflammation of orbit;
acute pancreatitis;acute pancreatitis NOS disorder|acute pancreatitis disorder|acute pancreatitis disorder [Ambiguous]|acute necrotizing pancreatitis|acute necrotizing pancreatitis disorder|PANCREATITIS NECROTIZING|acute pancreatitis NOS|acute pancreatitis unspecified disorder;
acute pericementitis;acute Periodontitis|acute periodontitis NOS disorder|acute periodontitis|acute pericementitis disorder|acute periodontitis disorder;
acute perichondritis of pinna;acute perichondritis of pinna disorder;A perichondritis of auricle with a sudden onset and a short course.
acute porphyria;hepatic porphyria disorder;A porphyria that has_symptom abdominal pain, has_symptom neuropathy, has_symptom autonomic instability and has_symptom psychosis.|Xref MGI.
acute poststreptococcal glomerulonephritis;Post-Streptococcal Glomerulonephritis;
acute proliferative glomerulonephritis;acute glomerulonephritis with lesion of proliferative glomerulonephritis;
acute promyelocytic leukemia;acute myeloblastic leukemia type 3|APL|acute myeloid leukemia M3;An acute myeloid leukemia characterized by accumulation of promyelocytes in the bone marrow and by a translocation between chromosomes 15 and 17.
acute psychogenic paranoid psychosis;acute paranoid reaction;
acute pulmonary heart disease;acute pulmonary heart disease disorder|acute pulmonary heart disease NOS disorder;
acute pyelonephritis;acute pyelonephritis disorder|acute pyelonephritis NOS disorder;
acute pyelonephritis with lesion of renal medullary necrosis;;
acute pyelonephritis without lesion of renal medullary necrosis;;
acute renal failure with lesion of renal cortical necrosis;;
acute renal failure with lesion of renal medullary necrosis;;
acute retinal necrosis syndrome;acute retinal necrosis;
acute retrobulbar neuritis;acute retrobulbar neuritis disorder|Retrobulbar neuritis acute;
acute salpingitis;;
acute salpingo-oophoritis;acute salpingitis and oophoritis;
acute sanguinous otitis media;;A acute transudative otitis media which involves bloody effusion.
acute schizophrenic episode chronic state;;
acute schizophrenic episode chronic state with acute exacerbation;;
acute schizophrenic episode in remission;;
acute schizophrenic episode subchronic state;;
acute schizophrenic episode subchronic state with acute exacerbation;;
acute serous otitis media;acute non-suppurative otitis media - serous;A acute transudative otitis media with thin, watery and sterile effusion.
acute sphenoidal sinusitis;Sphenoidal sinus -acute;A sphenoid sinusitis which lasts for less than 4 weeks.
acute stress disorder;traumatic stress disorder;An anxiety disorder that has_symptom flashbacks, has_symptom bad dreams, has_symptom frightening thoughts, has_symptom avoidance or has_symptom hyperarousal of PTSD occurring within one month of a traumatic experience as Acute Stress Disorder or ASD.
acute suppurative otitis media with tympanic membrane intact;acute suppurative otitis media without spontaneous rupture of ear drum|acute suppurative otitis media without spontaneous rupture of ear drum disorder;A purulent acute otitis media with no perforation of the tympanic membrane.
acute T cell leukemia;T-cell acute lymphoblastic leukemia disorder|Precursor T Lymphoblastic Leukemia;
acute thyroiditis;acute thyroiditis NOS disorder|acute thyroiditis disorder;
acute transudative otitis media;acute transudative otitis media|acute nonsuppurative otitis media|acute secretory otitis media|acute otitis media with effusion|acute non-suppurative otitis media;A non-suppurative otitis media and eustachian tube disorder with a sudden onset and a short course.
acute tympanitis;acute myringitis;
acute undifferentiated schizophrenia;acute schizophrenic episode disorder|acute schizophrenic episode|acute schizophrenic episode, unspecified state;
acute urate nephropathy;Uric acid nephrolithiasis|Uric acid urolithiasis;
acute vascular insufficiency of intestine;acute gastrointestinal tract vascular insuffic. disorder|acute intestinal Ischemia|acute intestinal vascular insufficiency|acute GIT vascular insuffic.;
adamantinoid basal cell epithelioma;skin adamantinoid basal cell epithelioma|Basal cell carcinoma - adamantinoid disorder|Melanotic adamantinoma of skin disorder;
adamantinoma;;A bone cancer that is located_in almost exclusively in the long bones.
adamantinous craniopharyngioma;craniopharyngioma, adamantinomatous|Adamantinous craniopharyngioma morphologic abnormality|Adamantinous Rathke's Pouch tumor;
Adams-Oliver syndrome;Adams Oliver syndrome;A syndrome characterized by defects of the scalp (aplasia cutis congenita), abnormalities of the fingers, toes, arms and legs.|Xref MGI.
AD-BAC;;
Addison's disease;HYPOADRENOCORTICISM, FAMILIAL|primary adrenocortical insufficiency|Addison disease|Addison disease, chronic adrenal insufficiency|primary hypoadrenalism;An adrenal cortical hypofunction that is characterized by insufficient steroid hormone production by the adrenal glands.
adenine phosphoribosyltransferase deficiency;APRT deficiency|2,8-dihydroxyadenine urolithiasis;An amino acid metabolic disorder characterized by the formation 2,8-dihydroxyadenine stones and renal failure secondary to intratubular crystalline precipitation. It has an autosomal recessive inheritance pattern.
adenocarcinoma;adenocarcinomas;A carcinoma that has_material_basis_in abnormally proliferating cells, derives_from epithelial cells, which originate in glandular tissue.
adenocarcinoma in a polyp;adenocarcinoma in adenomatous polyp|adenocarcinoma in adenomatous polyp morphologic abnormality;
adenocarcinoma in adenomatous polyposis coli;adenocarcinoma in adenomatous polyposis coli morphologic abnormality|adenocarcinoma in adenomatous polyposis Coli;
adenocarcinoma in situ;;
adenocarcinoma in tubular adenoma;adenocarcinoma in tubular adenoma;
adenocarcinoma in villous adenoma;adenocarcinoma in villous adenoma morphologic abnormality|villous adenomas and adenocarcinomas morphologic abnormality|villous adenoma or adenocarcinoma NOS morphologic abnormality;
adenofibroma;adenofibroma, no ICD-O subtype morphologic abnormality;A cell type benign neoplasm that is composed_of glandular and fibrous tissues, with a relatively large proportion of glands.
adenoid basal cell carcinoma;skin adenoid basal cell carcinoma;
adenoid hypertrophy;enlarged adenoids|adenoidal hypertrophy;An upper respiratory tract disease characterized by the unusual growth of the adenoid tonsil
adenoid squamous cell carcinoma;Pseudoglandular squamous carcinoma|adenocarcinoma with squamous metaplasia morphologic abnormality|adenoid squamous cell carcinoma morphologic abnormality|adenoacanthoma|Acantholytic squamous cell carcinoma disorder;A squamous cell carcinoma that is characterized by a tubular microscopic pattern and keratinocyte acantholysis.
adenoiditis;chronic adenoiditis;An upper respiratory tract disease which involves inflammation, pain, and swelling of the adenoid tissue due to the infection by bacteria and viruses. It occurs primarily in children and may be secondary to an allergy, infection of nose or throat and an obstruction of the eustachian tube. The infection has_symptom pain, has_symptom redness, has_symptom swelling, and has_symptom difficulty swallowing.
adenoma;adenomas|acinic cell adenoma|acinar cell adenoma|acinar cell adenoma morphologic abnormality|adenoma;A cell type benign neoplasm that is composed_of epithelial tissue in which tumor cells form glands or glandlike structures.
adenomatoid tumor;adenomatoid tumor morphologic abnormality|benign localized epithelial Mesothelioma|adenomatoid tumor NOS morphologic abnormality;
adenomyoma;adenomyoma morphologic abnormality;A carcinosarcoma that has_material_basis_in gland and muscle components.
adenomyoma of uterine corpus;adenomyoma of Corpus Uteri;
adenosarcoma;mullerian Adenosarcoma|Adenosarcoma morphologic abnormality;A carcinosarcoma that derives_from simultaneously or consecutively in mesodermal tissue and glandular epithelium.
adenosine deaminase deficiency;ADA ;A severe combined immunodeficiency that is caused by a defective enzyme, adenosine deaminase (ADA), necessary for the breakdown of purines. Lack of ADA causes accumulation of dATP.
adenosquamous bile duct carcinoma;bile duct Adenosquamous carcinoma;A bile duct carcinoma that derives_from squamous cells and gland-like cells.
adenosquamous breast carcinoma;;
adenosquamous carcinoma;Adenosquamous cell carcinoma disorder|mixed adenocarcinoma and squamous carcinoma|Adenosquamous carcinoma morphologic abnormality;A squamous cell carcinoma that contains squamous cells and gland-like cells.
adenosquamous cell lung carcinoma;Adenosquamous lung carcinoma;
adenosquamous colon carcinoma;Colonic Adenosquamous carcinoma|adenosquamous carcinoma of colon;A colon carcinoma that derives_from squamous cells and gland-like cells.
adenosquamous gallbladder carcinoma;Adenosquamous carcinoma of the gallbladder|adenosquamous carcinoma of gallbladder;A gallbladder carcinoma that derives_from squamous cells and gland-like cells.
adenosquamous pancreas carcinoma;Adenosquamous carcinoma of pancreas|adenosquamous carcinoma of the pancreas;A pancreatic ductal carcinoma that derives_from squamous cells and gland-like cells.
adenosquamous prostate carcinoma;Adenosquamous carcinoma of the prostate|adenosquamous carcinoma of prostate;A prostate carcinoma that derives_from squamous cells and gland-like cells.
adenovirus encephalitis;;An adenovirus infectious disease that results_in inflammation located_in brain, has_material_basis_in Human adenovirus 2 or has_material_basis_in Human adenovirus 4. The symptoms include fever, stupor, nuchal rigidity, loss of consciousness and seizures.
adenovirus gastroenteritis;adenoviral enteritis|Enteritis due to adenovirus;An adenovirus infectious disease that involves damage of the cells in the lining of the stomach and intestines caused by adenoviruses (types 40 and 41). The symptoms include watery diarrhea, vomiting and fever.
adenovirus hepatitis;;An adenovirus infectious disease that involves inflammation of the liver caused by Human adenovirus 1, has_material_basis_in Human adenovirus 2, or has_material_basis_in Human adenovirus 5. The symptoms include fever, coagulopathy and gastrointestinal bleeding. Histopathological examination reveals widespread hepatic necrosis with hemorrhage.
adenovirus infectious disease;Adenoviridae infectious disease;A viral infectious disease that results_in infection in cattle, dogs, horses, pigs, and humans, has_material_basis_in Adenoviridae viruses.
