Preferred Label;Synonyms
respiratory system arterial endothelium;arterial endothelium of respiratory system|respiratory system endothelium of artery|artery endothelium of respiratory system|apparatus respiratorius arterial endothelium|artery endothelium of apparatus respiratorius|endothelium of artery of respiratory system|endothelium of artery of apparatus respiratorius|arterial endothelium of apparatus respiratorius|apparatus respiratorius endothelium of artery|apparatus respiratorius artery endothelium|respiratory system artery endothelium
malpighian tubule tip cell;
double negative memory B cell;double negative memory B-lymphocyte|dn memory B lymphocyte|dn memory B-cell|double negative memory B-cell|dn memory B cell|double negative memory B lymphocyte|dn memory B-lymphocyte
optic choroid fibroblast;
segmental subdivision of nervous system;neuromere
basal ganglion;basal ganglion of telencephalon|basal nucleus|nuclei basales|basal ganglia
pedal digit digitopodial skeleton;pedal digit skeleton|pedal digit
type I pneumocyte;small alveolar cells|squamous alveolar cell|AT1|ATI|type I alveolar epithelial cells|type I alveolar cells|type 1 alveolar epithelial cells|type 1 pneumocyte|squamous alveolar lining cell|membranous pneumocytes|lung type 1 cells|pulmonary alveolar type I cell
coronary vessel;
chromaffin cell of adrenal gland;adrenal chromaffin cell
epithelial cell of prostate;prostate epithelial cell
membrane protein complex;
regional part of brain;biological structure of brain|brain part|anatomical structure of brain|brain anatomical structure|segment of brain|brain biological structure|neuroanatomical region|neuraxis segment
abdomen;abdominopelvis|abdominopelvic region|celiac region|belly|adult abdomen
future brain;presumptive brain|brain rudiment|encephalon|embryonic brain
obsolete regulatory T cell;
duct of male reproductive system;
peptide secretion;
bone element;bone organ|bones|bone
response to gravity;
pseudounipolar neuron;
trachea non-cartilage connective tissue;
interlobular artery cell;
trans-acting T-cell-specific transcription factor GATA-3;GATA3|GATA-binding factor 3|Gata-3
urinary bladder neck smooth muscle;non-striated muscle of urinary bladder neck|trigonal muscle|smooth muscle of urinary bladder neck|urinary bladder neck smooth muscle tissue|non-striated muscle of bladder neck|smooth muscle of neck of urinary bladder|non-striated muscle of neck of urinary bladder|neck of urinary bladder involuntary muscle|smooth muscle of neck of bladder|smooth muscle tissue of vesical neck|vesical neck smooth muscle|bladder neck non-striated muscle|involuntary muscle of urinary bladder neck|smooth muscle of vesical neck|trigonal muscle of urinary bladder|smooth muscle tissue of urinary bladder neck|neck of bladder smooth muscle tissue|non-striated muscle of neck of bladder|non-striated muscle of vesical neck|urinary bladder neck muscle|bladder neck involuntary muscle|smooth muscle of bladder neck|smooth muscle tissue of bladder neck|neck of bladder smooth muscle|neck of urinary bladder smooth muscle tissue|involuntary muscle of neck of urinary bladder|involuntary muscle of bladder neck|bladder neck smooth muscle|bladder neck smooth muscle tissue|vesical neck involuntary muscle|urinary bladder neck non-striated muscle|vesical neck smooth muscle tissue|smooth muscle tissue of neck of bladder|neck of bladder involuntary muscle|smooth muscle tissue of neck of urinary bladder|neck of urinary bladder non-striated muscle|urinary bladder neck involuntary muscle|neck of urinary bladder smooth muscle|involuntary muscle of neck of bladder|neck of bladder non-striated muscle|vesical neck non-striated muscle|involuntary muscle of vesical neck
outer medulla outer stripe loop of Henle;
metanephric glomerulus vasculature;
type 1 cone bipolar cell (sensu Mus);DB1 cone bipolar cell
regulation of CD4-positive, alpha-beta T cell differentiation;
secretory circumventricular organ;
gall bladder smooth muscle;involuntary muscle of gall bladder|gall bladder smooth muscle tissue|non-striated muscle of gallbladder|non-striated muscle of gall bladder|gallbladder smooth muscle|gallbladder non-striated muscle|smooth muscle of gallbladder|involuntary muscle of gallbladder|smooth muscle of gall bladder|gall bladder non-striated muscle|gallbladder smooth muscle tissue|smooth muscle tissue of gall bladder|gallbladder involuntary muscle|smooth muscle tissue of gallbladder|gall bladder involuntary muscle|biliary smooth muscle
obsolete epithelial cell of gingival part of viscerocranial mucosa;
compound organ;organ
obsolete generative cell;
secondary follicular cell of ovary;
midbrain basal plate;basal plate midbrain|basal plate midbrain region
chromosome condensation;
metanephric renal pelvis;metanephros pelvis
gland of foregut;foregut gland
Schwann cell precursor;Schwann cell precursor cell
CD4-intermediate, CD8-positive double-positive thymocyte;T.4int8+.Th
obsolete prestalk cell;
pyloric gastric gland;pyloric antrum gland|glandula pylorica|pyloric gland|pyloric mucuous gland
CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell;
choroid plexus epithelial cell;epithelial cell of choroid plexus
kidney papillary duct principal epithelial cell;
pulmonary capillary;capillary of lung
ileal goblet cell;goblet cell of epithelium proper of ileum
melanogaster group;
perivascular macrophage;
brush cell of bronchus;
peritubular capillary endothelial cell;
regulation of alpha-beta T cell differentiation;
segment of pes;foot region|segment of foot|regio pedis|foot subdivision|subdivision of foot
qualitative;
androgen secreting cell;
olfactory epithelial cell;
tolerance induction;
gastrointestinal system lamina propria;
frontal lobe;regio frontalis|frontal region|lobus frontalis|lobi frontales|frontal cortex
aortic endothelial cell;
rectum;terminal portion of intestine|intestinum rectum|terminal portion of large intestine|rectal sac
fibroblast neural crest derived;
Pterygota <winged insects>;Pterygota|winged insects
estradiol secreting cell;
stomach glandular region mucosa;stomach glandular region glandular mucous membrane
left lung endothelium;
buccal mucosa cell;
regular ventricular cardiac myocyte;ventricular cardiac muscle cell|regular cardiac muscle cell of ventricle|regular ventricular cardiac muscle fiber|ventricular myocyte
negative regulation of odontogenesis;
hair-down neuron;
outer hair cell;cochlear outer hair cell
humerus pre-cartilage condensation;humeral pre-cartilage condensation
midbrain tegmentum;tegmentum|MTg|tegmentum of midbrain|tegmentum mesencephali|mesencephalic tegmentum|tegmentum mesencephalicum
gland of integumental system;integumental system gland|integumental gland|integumentary gland
bile duct;hepatic duct|gall duct|bile tube|biliary duct
Fc receptor complex;
membrane alanyl aminopeptidase-like metallopeptidase;
anatomical structure morphogenesis;
negative regulation of immune system process;
anatomical structure homeostasis;
negative regulation of leukocyte proliferation;
articular chondrocyte;
pit;
T-cell surface glycoprotein CD8 alpha chain;T-lymphocyte differentiation antigen T8/Leu-2|T-cell surface glycoprotein Lyt-2|CD8A|CD8a|Lyt-2|Lyt2|MAL
hypocretin-secreting neuron;orexin
vascular system;Gefaesssystem@de
keratinocyte stem cell;bulge keratinocyte
CD27-positive gamma-delta T cell;gammadelta27-positive|gd27-positive
manual digitopodium region;
DN3 thymocyte;early cortical thymocyte|DN3 cell|preT.DN3.Th|TN3 thymocyte|DN3 immature T cell|TN3 cell|DN3 alpha-beta immature T-lymphocyte|DN3 alpha-beta immature T-cell|double negative 3|DN3 alpha-beta immature T lymphocyte
midbrain nucleus;
cloaca;vent|cloacal chamber
transitional anatomical structure;
adrenal cortex chromaffin cell;chromaffin cell of adrenal cortex
gland of digestive tract;gut gland|digestive tract gland|gland of digestive tract|lower gastrointestinal tract gland|gland of lower gastrointestinal tract
IgG plasmablast;
trigone of urinary bladder;urinary bladder trigone|trigonum vesicae|bladder trigone|trigone of bladder|musculus trigoni vesicae profundus|Lieutaud's trigone|deep trigone|vesical trigone|trigonum vesicae urinariae|dorsal bladder neck
type II vestibular sensory cell;type 2 vestibular sensory cell|type II hair cell|type 2 vestibular hair cell
phalanx endochondral element;phalanx skeletal element|phalanx element
Euarchontoglires;
liver CD103-positive dendritic cell;DC.103+11b-.Lv
appendage blood vessel;fin blood vessel|limb blood vessel
P/D1 enteroendocrine cell;
myeloid cell differentiation;
epithelial cell of prostatic duct;ductal epithelial cell of prostate
galectin-1;gal-1|putative MAPK-activating protein PM12|HPL|lactose-binding lectin 1|S-Lac lectin 1|HBL|beta-galactoside-binding lectin L-14-I|lectin galactoside-binding soluble 1|14 kDa lectin|HLBP14|galaptin|14 kDa laminin-binding protein|LGALS1|Gbp
Dipnotetrapodomorpha;
hyalocyte;vitreous cell
gall bladder serosa;serous membrane of gallbladder|gall bladder serous membrane|gallbladder serosa|gallbladder serous membrane|serosa of gall bladder|tunica serosa (vesica biliaris)|serosa of gallbladder|serous membrane of gall bladder|serous coat of gallbladder|tunica serosa vesicae biliaris|biliary serosa
smooth muscle layer in fatty layer of subcutaneous tissue;stratum musculosum panniculi adiposi telae subcutaneae|muscle layer in fatty layer of subcutaneous tissue
leukocyte;leucocyte|white blood cell|immune cell
prostate field;prostate primordium
positive regulation of secretion by cell;
endometrial microvascular endothelial cells;
ciliary muscle cell;smooth muscle cell of ciliary body
preplacodal ectoderm;
dorsal root ganglion;spinal ganglion part of peripheral nervous system|ganglion spinalis|dorsal root ganglion|ganglion of dorsal root|spinal ganglion|posterior root ganglion|DRG|dorsal root ganglia|ganglion sensorium nervi spinalis|ganglion spinale
skin epithelium;
cell differentiation;
kidney pelvis urothelial cell;
macroglial cell;macrogliocyte
hippocampus pyramidal layer;pyramidal cell layer of the hippocampus|stratum pyramidale|stratum pyramidale hippocampi|pyramidal layer of hippocampus|gyrus occipitalis tertius|hippocampus stratum pyramidale|hippocampal pyramidal layer|gyrus occipitalis inferior|hippocampal pyramidal cell layer|hippocampus pyramidal cell layer
rhythmic process;
vascular element of right lung;
sensory epithelium;neuroepithelium
dorsolateral placode;dorsolateral placodes
renal cortex interstitium;kidney cortex interstitium|renal cortical interstitial tissue|cortical stroma
mature CD8 single-positive thymocyte;T.8SP24-.Th
outer epithelium;outer epidermal layer|epidermis|outer epithelial layer|epidermis (sensu Metazoa)|hypoderm|hypodermis
brain gray matter;grey matter of brain|grey substance of brain|brain grey substance|brain grey matter|gray matter of brain
upper arm epithelium;
endoderm;entoderm
cellular developmental process;
CNS interneuron;
paraxial mesoderm;somitic mesoderm|paraxial mesenchyme|mesoderma paraxiale
female reproductive system;genitalia of female organism|reproductive system of female organism|female organism genitalia|female organism reproductive system|female genitalia|gynaecological tissue|female genital system|systema genitale femininum|female reproductive tract|female genital tract|female genitals
muscle layer of jejunum;muscularis externa of jejunum|smooth muscle of jejunum|muscularis propria of jejunum|jejunal smooth muscle
macrophage mannose receptor 1;MMR|CD206|C-type lectin domain family 13 member D|MRC1|C-type lectin domain family 13 member D-like|CLEC13DL|macrophage mannose receptor 1-like protein 1|CLEC13D|MRC1L1
band form eosinophil;
pancreatic endocrine cell;
muscular coat of seminal vesicle;muscle layer of seminal vesicle|tunica muscularis glandulae vesiculosae|tunica muscularis (vesicula seminalis)|muscular coat of seminal gland|muscular layer of seminal gland
ovarian fibroblast;
spleen venous sinus;splenic sinus|venous sinus of red pulp of spleen|sinus splenicus|sinus lienalis
sensory circumventricular organ;sensory CVOs|humerosensory system|sensitive circumventricular organs|humerosensory system organ|sensitive organs|humerosensory circumventricular organ|sensory circumventricular organs
Kit-positive megakaryocyte progenitor cell;
lung microvascular endothelial cell;
posterior region of body;
limbic cortex;cortex of limbic lobe|limbic lobe cortex|gray matter of limbic lobe
regulation of multicellular organismal development;
Ecdysozoa;
regulation of response to stress;
spleen lymphoid follicle;splenic lymphoid follicle|lymphoid nodule of spleen|splenic B cell follicle|lymphatic follicle of spleen|splenic lymphatic follicle|lymphoid follicle of spleen|Malpighian body|spleen lymphoid follicle|spleen B cell follicle|spleen lymphoid nodule
indifferent external genitalia;
smooth muscle cell of trachea;
prolactin secreting cell;
smooth muscle fiber of transverse colon;non-striated muscle fiber of transverse colon
light chief cell of parathyroid gland;
pes joint;articulationes pedis|hind limb autopod joint|joint of terminal segment of free lower limb|pedal joint|joints of foot|joint of pes|foot joint
spinal cord motor column;
vaginal sphincter;sphincter of vagina
3rd arch mesenchyme;3rd pharyngeal arch mesenchyme|pharyngeal arch 3 mesenchyme|3rd branchial arch mesenchyme
hepatobiliary system;liver and biliary system|hepaticobiliary system|liver/biliary system
mucosa of middle ear;middle ear organ mucosa|mucous membrane of middle ear|middle ear mucous membrane|tunica mucosa cavitatis tympanicae|middle ear mucosa|mucosa of tympanic cavity|organ mucosa of middle ear|middle ear mucosa of organ|mucosa of organ of middle ear
